Dt_Customer,Marital_Status,Education,Current_Age,Recency,NumWebVisitsMonth,Income,childornot,total_amt_spent,totalnum_purchases,Target,segments
751.0,1.0,1.0,53.0,31.0,5.0,40548.0,1.0,120.0,9.0,1.0,Bad Customers
732.0,0.0,2.0,71.0,8.0,6.0,46610.0,2.0,302.0,17.0,1.0,Good Customers
376.0,1.0,2.0,77.0,4.0,7.0,68657.0,0.0,1196.0,18.0,0.0,Good Customers
366.0,0.0,2.0,72.0,55.0,7.0,49389.0,2.0,65.0,6.0,0.0,Good Customers
364.0,1.0,2.0,53.0,37.0,2.0,67353.0,1.0,913.0,28.0,0.0,Good Customers
393.0,1.0,0.0,47.0,76.0,7.0,23718.0,1.0,81.0,9.0,0.0,Bad Customers
20.0,0.0,1.0,50.0,99.0,5.0,42429.0,1.0,67.0,7.0,0.0,Bad Customers
395.0,0.0,2.0,80.0,53.0,6.0,48948.0,0.0,902.0,24.0,1.0,Good Customers
367.0,1.0,1.0,43.0,3.0,4.0,80011.0,1.0,1395.0,21.0,0.0,Good Customers
384.0,1.0,2.0,38.0,88.0,8.0,20559.0,1.0,53.0,7.0,0.0,Bad Customers
737.0,1.0,1.0,66.0,4.0,5.0,21994.0,1.0,22.0,4.0,0.0,Bad Customers
390.0,0.0,2.0,64.0,80.0,2.0,51381.5,0.0,186.0,9.0,0.0,Good Customers
393.0,1.0,2.0,48.0,19.0,5.0,7500.0,1.0,31.0,8.0,0.0,Bad Customers
2.0,0.0,1.0,47.0,72.0,1.0,79941.0,0.0,984.0,16.0,0.0,Good Customers
752.0,1.0,0.0,27.0,24.0,9.0,7500.0,0.0,122.0,10.0,1.0,Bad Customers
372.0,1.0,1.0,55.0,92.0,10.0,41728.0,1.0,55.0,5.0,0.0,Bad Customers
30.0,0.0,1.0,72.0,96.0,6.0,51381.5,3.0,124.0,10.0,0.0,Good Customers
753.0,1.0,2.0,69.0,39.0,8.0,72550.0,2.0,1319.0,28.0,0.0,Good Customers
19.0,0.0,1.0,66.0,29.0,2.0,65486.0,1.0,507.0,17.0,0.0,Good Customers
750.0,1.0,2.0,59.0,2.0,3.0,79143.0,0.0,1693.0,29.0,0.0,Good Customers
394.0,0.0,1.0,46.0,54.0,7.0,35790.0,1.0,72.0,7.0,0.0,Bad Customers
23.0,0.0,1.0,46.0,54.0,1.0,82582.0,0.0,1617.0,21.0,1.0,Good Customers
383.0,1.0,1.0,45.0,57.0,3.0,66373.0,2.0,606.0,23.0,0.0,Good Customers
742.0,1.0,2.0,68.0,55.0,1.0,82384.0,0.0,1957.0,27.0,1.0,Good Customers
394.0,0.0,1.0,57.0,30.0,3.0,70287.0,0.0,1093.0,21.0,1.0,Good Customers
3.0,0.0,1.0,35.0,31.0,3.0,27938.0,1.0,29.0,6.0,0.0,Bad Customers
378.0,0.0,1.0,41.0,57.0,6.0,51381.5,1.0,46.0,7.0,0.0,Good Customers
28.0,1.0,2.0,55.0,63.0,7.0,55954.0,1.0,518.0,19.0,0.0,Good Customers
391.0,0.0,2.0,41.0,12.0,1.0,75777.0,0.0,1438.0,21.0,1.0,Good Customers
754.0,1.0,1.0,48.0,18.0,3.0,66653.0,2.0,612.0,22.0,0.0,Good Customers
378.0,0.0,1.0,71.0,26.0,7.0,61823.0,1.0,884.0,24.0,0.0,Good Customers
384.0,0.0,2.0,72.0,8.0,5.0,67680.0,1.0,606.0,19.0,0.0,Good Customers
389.0,1.0,1.0,75.0,29.0,4.0,70666.0,0.0,1076.0,16.0,0.0,Good Customers
375.0,1.0,1.0,52.0,75.0,7.0,25721.0,1.0,34.0,5.0,1.0,Bad Customers
20.0,1.0,1.0,56.0,0.0,7.0,32474.0,2.0,11.0,4.0,0.0,Bad Customers
12.0,0.0,0.0,44.0,19.0,5.0,88194.0,1.0,1274.0,32.0,1.0,Good Customers
368.0,1.0,1.0,65.0,4.0,4.0,69096.0,1.0,653.0,18.0,0.0,Good Customers
388.0,1.0,1.0,53.0,90.0,5.0,74854.0,3.0,1562.0,19.0,0.0,Good Customers
750.0,1.0,2.0,69.0,1.0,3.0,66991.0,0.0,1253.0,21.0,0.0,Good Customers
747.0,1.0,0.0,50.0,25.0,8.0,51381.5,1.0,109.0,9.0,0.0,Good Customers
379.0,1.0,1.0,64.0,29.0,7.0,65031.0,1.0,863.0,30.0,0.0,Good Customers
391.0,1.0,2.0,48.0,88.0,7.0,60631.0,2.0,661.0,24.0,1.0,Good Customers
1.0,1.0,1.0,71.0,58.0,2.0,28332.0,0.0,65.0,8.0,0.0,Bad Customers
742.0,0.0,1.0,46.0,68.0,6.0,40246.0,1.0,13.0,4.0,0.0,Bad Customers
734.0,1.0,2.0,51.0,34.0,5.0,75251.0,0.0,1890.0,19.0,1.0,Good Customers
749.0,0.0,1.0,47.0,40.0,4.0,75825.0,0.0,2209.0,22.0,1.0,Good Customers
391.0,1.0,0.0,47.0,12.0,3.0,26326.0,0.0,18.0,4.0,0.0,Bad Customers
394.0,1.0,1.0,58.0,9.0,8.0,56046.0,0.0,692.0,21.0,1.0,Good Customers
732.0,0.0,1.0,38.0,87.0,8.0,29760.0,1.0,165.0,12.0,0.0,Bad Customers
372.0,1.0,1.0,54.0,5.0,7.0,26304.0,1.0,16.0,4.0,0.0,Bad Customers
392.0,1.0,0.0,50.0,87.0,7.0,23559.0,1.0,79.0,9.0,0.0,Bad Customers
385.0,1.0,2.0,60.0,56.0,3.0,38620.0,0.0,318.0,11.0,0.0,Bad Customers
6.0,0.0,1.0,36.0,18.0,1.0,81361.0,0.0,778.0,27.0,0.0,Good Customers
384.0,1.0,1.0,63.0,95.0,7.0,29440.0,2.0,56.0,7.0,0.0,Bad Customers
379.0,1.0,2.0,53.0,48.0,7.0,36138.0,2.0,151.0,13.0,1.0,Bad Customers
3.0,0.0,1.0,66.0,3.0,7.0,50388.0,1.0,372.0,17.0,1.0,Good Customers
19.0,1.0,1.0,50.0,70.0,2.0,79593.0,0.0,1366.0,19.0,1.0,Good Customers
10.0,1.0,1.0,56.0,79.0,2.0,54178.0,1.0,194.0,10.0,0.0,Good Customers
742.0,1.0,2.0,66.0,4.0,9.0,51381.5,3.0,603.0,29.0,0.0,Good Customers
4.0,0.0,1.0,66.0,45.0,7.0,51381.5,2.0,18.0,4.0,0.0,Good Customers
372.0,1.0,2.0,50.0,87.0,1.0,51381.5,0.0,985.0,15.0,0.0,Good Customers
8.0,0.0,2.0,51.0,69.0,7.0,42394.0,1.0,32.0,5.0,0.0,Bad Customers
7.0,1.0,2.0,53.0,84.0,5.0,23626.0,1.0,43.0,10.0,0.0,Bad Customers
9.0,1.0,1.0,40.0,30.0,6.0,30096.0,1.0,45.0,6.0,0.0,Bad Customers
739.0,0.0,1.0,63.0,72.0,6.0,47916.0,1.0,606.0,22.0,1.0,Good Customers
385.0,0.0,1.0,51.0,37.0,7.0,51813.0,2.0,63.0,7.0,0.0,Good Customers
394.0,1.0,0.0,72.0,44.0,2.0,78497.0,0.0,978.0,25.0,1.0,Good Customers
375.0,1.0,2.0,40.0,32.0,5.0,50150.0,0.0,410.0,16.0,0.0,Good Customers
372.0,0.0,0.0,63.0,0.0,8.0,47823.0,1.0,72.0,7.0,0.0,Good Customers
1.0,0.0,2.0,64.0,43.0,6.0,34554.0,1.0,55.0,7.0,0.0,Bad Customers
376.0,1.0,1.0,44.0,59.0,5.0,85693.0,1.0,1169.0,27.0,0.0,Good Customers
379.0,1.0,2.0,78.0,68.0,4.0,65846.0,0.0,1120.0,16.0,0.0,Good Customers
23.0,1.0,1.0,64.0,35.0,1.0,87195.0,0.0,1097.0,20.0,1.0,Good Customers
385.0,1.0,0.0,44.0,94.0,5.0,24594.0,1.0,29.0,5.0,0.0,Bad Customers
371.0,1.0,1.0,59.0,15.0,7.0,49096.0,2.0,187.0,13.0,0.0,Good Customers
394.0,1.0,1.0,54.0,56.0,6.0,52413.0,2.0,910.0,26.0,0.0,Good Customers
742.0,0.0,1.0,45.0,17.0,7.0,38557.0,1.0,145.0,9.0,0.0,Bad Customers
754.0,1.0,2.0,63.0,18.0,2.0,89058.0,0.0,850.0,14.0,0.0,Good Customers
393.0,1.0,1.0,44.0,46.0,3.0,77298.0,1.0,969.0,24.0,0.0,Good Customers
751.0,0.0,2.0,32.0,40.0,9.0,68126.0,0.0,1820.0,17.0,1.0,Good Customers
5.0,1.0,2.0,60.0,27.0,6.0,57288.0,1.0,608.0,20.0,1.0,Good Customers
394.0,0.0,1.0,32.0,95.0,3.0,86037.0,0.0,730.0,25.0,1.0,Good Customers
749.0,1.0,2.0,43.0,19.0,7.0,43974.0,1.0,551.0,21.0,0.0,Good Customers
385.0,0.0,1.0,61.0,27.0,6.0,50785.0,2.0,114.0,8.0,0.0,Good Customers
7.0,1.0,1.0,53.0,25.0,1.0,90765.0,0.0,1724.0,15.0,1.0,Good Customers
377.0,1.0,0.0,45.0,74.0,9.0,36550.0,1.0,577.0,20.0,0.0,Bad Customers
384.0,1.0,0.0,56.0,85.0,5.0,30753.0,2.0,81.0,7.0,0.0,Bad Customers
381.0,1.0,1.0,54.0,37.0,6.0,21918.0,1.0,33.0,7.0,0.0,Bad Customers
375.0,1.0,2.0,70.0,65.0,4.0,56129.0,1.0,660.0,22.0,0.0,Good Customers
7.0,0.0,2.0,56.0,13.0,5.0,32557.0,1.0,80.0,9.0,1.0,Bad Customers
391.0,1.0,2.0,38.0,63.0,7.0,19510.0,2.0,30.0,6.0,0.0,Bad Customers
374.0,0.0,1.0,47.0,83.0,7.0,30992.0,1.0,43.0,5.0,0.0,Bad Customers
384.0,0.0,1.0,40.0,69.0,2.0,101970.0,0.0,1135.0,27.0,1.0,Good Customers
378.0,1.0,0.0,58.0,87.0,1.0,71488.0,0.0,559.0,16.0,0.0,Good Customers
375.0,0.0,1.0,39.0,37.0,1.0,79607.0,0.0,1923.0,16.0,1.0,Good Customers
22.0,1.0,2.0,70.0,51.0,6.0,54348.0,2.0,90.0,8.0,0.0,Good Customers
384.0,1.0,2.0,62.0,23.0,6.0,51381.5,1.0,404.0,17.0,0.0,Good Customers
21.0,1.0,2.0,67.0,72.0,4.0,77376.0,2.0,661.0,23.0,0.0,Good Customers
365.0,1.0,1.0,71.0,10.0,5.0,62998.0,1.0,463.0,19.0,0.0,Good Customers
386.0,0.0,2.0,65.0,42.0,8.0,61331.0,2.0,632.0,23.0,0.0,Good Customers
21.0,1.0,1.0,54.0,10.0,4.0,73448.0,0.0,725.0,19.0,0.0,Good Customers
384.0,1.0,1.0,60.0,96.0,4.0,51381.5,1.0,725.0,19.0,0.0,Good Customers
381.0,1.0,2.0,59.0,51.0,8.0,41551.0,2.0,279.0,16.0,0.0,Bad Customers
379.0,1.0,2.0,56.0,21.0,3.0,62981.0,0.0,1482.0,23.0,1.0,Good Customers
753.0,0.0,0.0,47.0,31.0,8.0,9548.0,1.0,29.0,6.0,0.0,Bad Customers
388.0,1.0,2.0,64.0,61.0,8.0,33762.0,3.0,106.0,9.0,0.0,Bad Customers
12.0,0.0,2.0,50.0,37.0,5.0,35860.0,2.0,49.0,6.0,1.0,Bad Customers
367.0,0.0,2.0,58.0,74.0,7.0,36921.0,2.0,38.0,7.0,0.0,Bad Customers
742.0,0.0,2.0,31.0,46.0,2.0,92859.0,0.0,2077.0,22.0,0.0,Good Customers
381.0,1.0,2.0,47.0,4.0,7.0,65104.0,1.0,1053.0,17.0,1.0,Good Customers
377.0,1.0,1.0,61.0,73.0,2.0,86111.0,0.0,1385.0,23.0,0.0,Good Customers
367.0,0.0,2.0,49.0,47.0,6.0,68352.0,1.0,871.0,25.0,0.0,Good Customers
377.0,1.0,1.0,35.0,13.0,7.0,41883.0,1.0,312.0,12.0,0.0,Bad Customers
743.0,1.0,1.0,47.0,36.0,8.0,59809.0,2.0,877.0,15.0,0.0,Good Customers
733.0,1.0,1.0,48.0,47.0,6.0,23957.0,1.0,68.0,6.0,1.0,Bad Customers
367.0,1.0,1.0,42.0,49.0,8.0,38547.0,1.0,22.0,4.0,0.0,Bad Customers
739.0,1.0,0.0,50.0,94.0,8.0,35688.0,3.0,211.0,16.0,0.0,Bad Customers
9.0,1.0,2.0,57.0,65.0,3.0,49605.0,0.0,127.0,8.0,0.0,Good Customers
7.0,1.0,2.0,70.0,59.0,3.0,59354.0,2.0,459.0,16.0,0.0,Good Customers
24.0,1.0,1.0,54.0,96.0,6.0,65747.0,1.0,460.0,19.0,1.0,Good Customers
747.0,1.0,0.0,51.0,28.0,7.0,46344.0,1.0,429.0,17.0,0.0,Good Customers
19.0,0.0,1.0,35.0,12.0,6.0,34176.0,1.0,89.0,11.0,0.0,Bad Customers
752.0,1.0,2.0,71.0,57.0,5.0,61010.0,1.0,1021.0,26.0,0.0,Good Customers
377.0,1.0,1.0,74.0,10.0,4.0,69372.0,0.0,1381.0,21.0,1.0,Good Customers
387.0,0.0,1.0,65.0,4.0,7.0,49967.0,1.0,306.0,15.0,0.0,Good Customers
383.0,0.0,1.0,45.0,49.0,4.0,60199.0,3.0,18.0,4.0,0.0,Good Customers
378.0,1.0,1.0,46.0,3.0,2.0,55375.0,1.0,162.0,9.0,0.0,Good Customers
375.0,0.0,1.0,68.0,64.0,1.0,80317.0,0.0,1231.0,18.0,0.0,Good Customers
394.0,0.0,2.0,65.0,0.0,7.0,30523.0,3.0,13.0,4.0,0.0,Bad Customers
756.0,1.0,2.0,78.0,20.0,6.0,70356.0,0.0,1706.0,27.0,0.0,Good Customers
26.0,1.0,1.0,39.0,91.0,8.0,23228.0,1.0,121.0,11.0,0.0,Bad Customers
395.0,0.0,2.0,48.0,9.0,2.0,74165.0,0.0,1293.0,20.0,0.0,Good Customers
30.0,1.0,2.0,50.0,98.0,0.0,157243.0,1.0,1608.0,37.0,0.0,Good Customers
382.0,1.0,1.0,57.0,83.0,6.0,43482.0,3.0,88.0,9.0,0.0,Bad Customers
377.0,0.0,1.0,70.0,27.0,3.0,62551.0,0.0,421.0,18.0,1.0,Good Customers
367.0,0.0,1.0,64.0,63.0,4.0,52332.0,0.0,259.0,12.0,1.0,Good Customers
393.0,0.0,1.0,35.0,46.0,1.0,66951.0,0.0,1117.0,15.0,0.0,Good Customers
6.0,1.0,1.0,66.0,84.0,5.0,26091.0,2.0,89.0,9.0,0.0,Bad Customers
10.0,1.0,1.0,58.0,58.0,7.0,33456.0,2.0,36.0,6.0,0.0,Bad Customers
382.0,1.0,1.0,41.0,78.0,8.0,28718.0,1.0,57.0,7.0,0.0,Bad Customers
10.0,1.0,1.0,53.0,4.0,6.0,50447.0,2.0,148.0,8.0,0.0,Good Customers
1.0,1.0,2.0,64.0,17.0,5.0,53537.0,2.0,93.0,8.0,0.0,Good Customers
27.0,0.0,1.0,56.0,77.0,4.0,52074.0,1.0,119.0,7.0,1.0,Good Customers
749.0,1.0,2.0,48.0,56.0,5.0,80427.0,1.0,1835.0,28.0,0.0,Good Customers
745.0,1.0,2.0,75.0,79.0,4.0,83837.0,0.0,1318.0,25.0,1.0,Good Customers
8.0,1.0,2.0,53.0,90.0,7.0,38853.0,2.0,45.0,7.0,0.0,Bad Customers
6.0,1.0,1.0,64.0,96.0,2.0,38285.0,3.0,10.0,4.0,0.0,Bad Customers
394.0,1.0,0.0,72.0,44.0,2.0,78497.0,0.0,978.0,25.0,1.0,Good Customers
20.0,1.0,2.0,47.0,81.0,5.0,51650.0,1.0,191.0,10.0,0.0,Good Customers
21.0,1.0,0.0,35.0,77.0,6.0,16248.0,1.0,57.0,9.0,0.0,Bad Customers
367.0,1.0,2.0,77.0,21.0,2.0,66835.0,0.0,1033.0,24.0,0.0,Good Customers
9.0,1.0,2.0,39.0,16.0,6.0,30477.0,1.0,66.0,6.0,0.0,Bad Customers
15.0,1.0,0.0,62.0,80.0,6.0,28249.0,0.0,43.0,6.0,0.0,Bad Customers
756.0,1.0,1.0,40.0,45.0,9.0,25271.0,1.0,50.0,5.0,0.0,Bad Customers
23.0,0.0,2.0,53.0,63.0,5.0,32303.0,1.0,39.0,7.0,0.0,Bad Customers
393.0,1.0,1.0,57.0,34.0,5.0,61286.0,1.0,608.0,18.0,0.0,Good Customers
377.0,1.0,1.0,47.0,14.0,2.0,74068.0,0.0,1581.0,24.0,0.0,Good Customers
373.0,1.0,2.0,59.0,13.0,7.0,45759.0,2.0,68.0,7.0,0.0,Good Customers
752.0,1.0,0.0,45.0,52.0,6.0,24882.0,1.0,80.0,5.0,1.0,Bad Customers
379.0,1.0,2.0,34.0,98.0,3.0,66973.0,0.0,1282.0,28.0,0.0,Good Customers
369.0,0.0,0.0,123.0,99.0,5.0,36640.0,1.0,65.0,6.0,0.0,Bad Customers
366.0,1.0,1.0,35.0,93.0,8.0,38872.0,1.0,91.0,8.0,0.0,Bad Customers
378.0,1.0,1.0,50.0,38.0,6.0,51148.0,2.0,315.0,16.0,0.0,Good Customers
366.0,1.0,1.0,46.0,24.0,8.0,31353.0,2.0,31.0,6.0,0.0,Bad Customers
18.0,1.0,2.0,43.0,80.0,3.0,69661.0,0.0,834.0,23.0,0.0,Good Customers
376.0,1.0,1.0,69.0,82.0,2.0,80067.0,0.0,1600.0,17.0,1.0,Good Customers
379.0,1.0,1.0,69.0,20.0,2.0,86718.0,0.0,1270.0,17.0,0.0,Good Customers
0.0,0.0,2.0,50.0,81.0,8.0,46854.0,2.0,263.0,15.0,1.0,Good Customers
1.0,0.0,1.0,71.0,50.0,5.0,69142.0,1.0,535.0,19.0,1.0,Good Customers
386.0,0.0,1.0,55.0,60.0,1.0,75922.0,0.0,1295.0,18.0,0.0,Good Customers
381.0,0.0,1.0,45.0,63.0,6.0,63693.0,1.0,1150.0,29.0,0.0,Good Customers
759.0,1.0,2.0,46.0,54.0,4.0,102160.0,0.0,1240.0,26.0,1.0,Good Customers
378.0,0.0,2.0,58.0,72.0,7.0,40637.0,2.0,38.0,6.0,0.0,Bad Customers
751.0,0.0,2.0,39.0,5.0,6.0,18890.0,0.0,35.0,4.0,1.0,Bad Customers
387.0,1.0,1.0,35.0,88.0,9.0,29604.0,1.0,53.0,5.0,1.0,Bad Customers
383.0,0.0,2.0,60.0,50.0,6.0,48721.0,2.0,293.0,17.0,0.0,Good Customers
22.0,1.0,1.0,57.0,99.0,6.0,44794.0,1.0,65.0,6.0,0.0,Good Customers
751.0,0.0,1.0,69.0,17.0,8.0,64497.0,1.0,1804.0,29.0,1.0,Good Customers
365.0,1.0,1.0,67.0,11.0,4.0,46097.0,1.0,241.0,15.0,0.0,Good Customers
13.0,1.0,1.0,69.0,18.0,1.0,77972.0,0.0,1101.0,20.0,0.0,Good Customers
756.0,1.0,2.0,55.0,70.0,8.0,44377.0,2.0,264.0,19.0,0.0,Good Customers
375.0,1.0,2.0,49.0,21.0,7.0,46014.0,2.0,541.0,26.0,0.0,Good Customers
392.0,1.0,1.0,38.0,66.0,1.0,70951.0,0.0,1198.0,17.0,0.0,Good Customers
30.0,1.0,1.0,46.0,79.0,8.0,41443.0,1.0,482.0,20.0,0.0,Bad Customers
19.0,0.0,0.0,45.0,2.0,8.0,52195.0,3.0,17.0,4.0,0.0,Good Customers
380.0,1.0,2.0,75.0,81.0,3.0,83790.0,0.0,1615.0,25.0,1.0,Good Customers
364.0,0.0,2.0,69.0,24.0,7.0,44551.0,1.0,285.0,12.0,0.0,Good Customers
747.0,1.0,1.0,43.0,48.0,6.0,69508.0,1.0,1135.0,28.0,0.0,Good Customers
20.0,1.0,0.0,35.0,93.0,3.0,45204.0,1.0,114.0,7.0,0.0,Good Customers
381.0,1.0,1.0,54.0,56.0,1.0,72460.0,0.0,1047.0,16.0,0.0,Good Customers
17.0,1.0,2.0,53.0,3.0,3.0,77622.0,2.0,714.0,22.0,0.0,Good Customers
391.0,1.0,2.0,43.0,44.0,8.0,30732.0,1.0,185.0,13.0,0.0,Bad Customers
753.0,0.0,1.0,61.0,38.0,6.0,63887.0,1.0,1245.0,32.0,0.0,Good Customers
370.0,1.0,1.0,45.0,46.0,8.0,42011.0,1.0,189.0,12.0,0.0,Bad Customers
736.0,1.0,1.0,47.0,84.0,8.0,51369.0,1.0,576.0,16.0,0.0,Good Customers
752.0,0.0,1.0,71.0,27.0,8.0,51537.0,1.0,1103.0,18.0,0.0,Good Customers
753.0,1.0,2.0,51.0,72.0,2.0,79930.0,0.0,1753.0,17.0,0.0,Good Customers
15.0,1.0,2.0,37.0,66.0,8.0,34320.0,1.0,17.0,4.0,0.0,Bad Customers
376.0,0.0,1.0,57.0,30.0,7.0,37070.0,2.0,433.0,23.0,1.0,Bad Customers
391.0,0.0,0.0,61.0,2.0,7.0,81975.0,1.0,1588.0,14.0,1.0,Good Customers
381.0,1.0,1.0,52.0,65.0,8.0,38590.0,1.0,22.0,4.0,0.0,Bad Customers
15.0,0.0,1.0,72.0,37.0,3.0,15033.0,0.0,19.0,5.0,0.0,Bad Customers
373.0,1.0,2.0,58.0,89.0,5.0,62745.0,1.0,1117.0,29.0,0.0,Good Customers
386.0,1.0,0.0,48.0,49.0,6.0,22212.0,1.0,69.0,8.0,0.0,Bad Customers
391.0,1.0,2.0,41.0,46.0,7.0,23661.0,1.0,23.0,5.0,0.0,Bad Customers
391.0,0.0,2.0,65.0,32.0,3.0,79761.0,1.0,605.0,19.0,0.0,Good Customers
369.0,0.0,1.0,50.0,54.0,7.0,7500.0,1.0,57.0,11.0,0.0,Bad Customers
14.0,0.0,0.0,130.0,23.0,4.0,60182.0,1.0,22.0,4.0,0.0,Good Customers
367.0,0.0,1.0,55.0,98.0,3.0,73455.0,0.0,2088.0,22.0,1.0,Good Customers
738.0,1.0,1.0,65.0,97.0,3.0,64961.0,1.0,1009.0,16.0,0.0,Good Customers
364.0,0.0,1.0,52.0,75.0,9.0,22804.0,1.0,26.0,5.0,0.0,Bad Customers
367.0,1.0,1.0,33.0,8.0,2.0,73687.0,0.0,1627.0,22.0,1.0,Good Customers
744.0,1.0,1.0,65.0,37.0,7.0,61074.0,1.0,1102.0,31.0,0.0,Good Customers
25.0,1.0,2.0,59.0,31.0,6.0,31686.0,2.0,17.0,6.0,0.0,Bad Customers
376.0,1.0,1.0,51.0,40.0,6.0,80134.0,1.0,1690.0,16.0,1.0,Good Customers
387.0,1.0,1.0,70.0,74.0,5.0,75027.0,1.0,1390.0,21.0,0.0,Good Customers
730.0,1.0,2.0,35.0,90.0,3.0,67546.0,0.0,2126.0,20.0,0.0,Good Customers
732.0,1.0,2.0,54.0,57.0,6.0,65176.0,1.0,1531.0,25.0,0.0,Good Customers
379.0,0.0,2.0,48.0,59.0,8.0,31160.0,1.0,64.0,7.0,0.0,Bad Customers
368.0,0.0,1.0,38.0,52.0,6.0,29938.0,1.0,26.0,6.0,0.0,Bad Customers
391.0,0.0,1.0,49.0,5.0,2.0,102692.0,0.0,1112.0,29.0,1.0,Good Customers
739.0,1.0,0.0,65.0,92.0,6.0,26490.0,0.0,210.0,11.0,0.0,Bad Customers
732.0,1.0,1.0,56.0,77.0,8.0,75702.0,2.0,1148.0,26.0,0.0,Good Customers
748.0,0.0,2.0,49.0,35.0,6.0,30899.0,1.0,33.0,6.0,0.0,Bad Customers
745.0,1.0,2.0,62.0,48.0,6.0,63342.0,1.0,1101.0,19.0,1.0,Good Customers
739.0,0.0,1.0,59.0,97.0,3.0,45989.0,1.0,322.0,16.0,0.0,Good Customers
391.0,0.0,1.0,59.0,95.0,5.0,18701.0,2.0,44.0,10.0,0.0,Bad Customers
387.0,0.0,2.0,66.0,24.0,8.0,40737.0,3.0,17.0,4.0,0.0,Bad Customers
751.0,0.0,1.0,44.0,60.0,7.0,15287.0,1.0,31.0,6.0,1.0,Bad Customers
374.0,0.0,2.0,55.0,46.0,5.0,69674.0,2.0,845.0,25.0,0.0,Good Customers
13.0,1.0,2.0,53.0,85.0,5.0,44159.0,1.0,275.0,15.0,0.0,Good Customers
738.0,1.0,2.0,45.0,31.0,9.0,37717.0,1.0,25.0,4.0,0.0,Bad Customers
393.0,1.0,2.0,71.0,9.0,8.0,43776.0,2.0,275.0,17.0,1.0,Bad Customers
382.0,1.0,2.0,57.0,30.0,7.0,38179.0,2.0,90.0,11.0,0.0,Bad Customers
4.0,1.0,1.0,60.0,47.0,1.0,80124.0,0.0,1495.0,19.0,1.0,Good Customers
746.0,1.0,2.0,53.0,70.0,7.0,38097.0,2.0,184.0,11.0,1.0,Bad Customers
